date,relative_dates,year_month,stars,review
1 Monat,2023-01-01 21:52:58.218241,01/2023,5,"Erste anlaufstelle wenn ich irgendetwas brauche. Gute marktverfügbarkeit online überprüfbar. Bin bis jetzt noch nie enttäuscht worden,preislich auch immer korrekt,Jederzeit wieder, Top!!!"
1 Monat,2023-01-01 21:52:58.218241,01/2023,3,"Riesen große Auswahl und sicher sehr viel was das Handwerker Herz begehrt.Ist nur etwas verwirrend wenn man das erste mal da ist doch zurecht zu finden.Denn beim nachfragen konnte man mir nicht weiterhelfen und beim nächsten Mitarbeiter Verwies man mich auf Bosch Produkte und meinte es gäbe keine anderen.Aber sie hatten noch andere die ich nach ewig suchen dann endlich gefunden hatte.Leider wenig Ahnung oder einfach keine Lust beim Nachfragen , was für mich Aber heutzutage der einzige Grund bleibt noch im  Laden  vor Ort ist ."
1 Monat,2023-01-01 21:52:58.218241,01/2023,4,
1 Monat,2023-01-01 21:52:58.218241,01/2023,5,
1 Monat,2023-01-01 21:52:58.218241,01/2023,5,
1 Monat,2023-01-01 21:52:58.218241,01/2023,3,"Großer Parkplatz, breites Sortiment. Freundliche und Sachkundige Mitarbeiter."
1 Monat,2023-01-01 21:52:58.219242,01/2023,3,
1 Monat,2023-01-01 21:52:58.219242,01/2023,5,
1 Monat,2023-01-01 21:52:58.219242,01/2023,4,
1 Monat,2023-01-01 21:52:58.219242,01/2023,4,"Joar isn Hornbach halt, wer hier was nicht findet, wollte nicht in nen baumarkt."
1 Monat,2023-01-01 21:52:58.219242,01/2023,5,"Alles sauber und ordentlich gehalten, kompetente Hilfe vor Ort und falls die Kasse zu voll ist, ab zur SB Kasse. 5/5"
1 Monat,2023-01-01 21:52:58.219242,01/2023,5,
1 Monat,2023-01-01 21:52:58.219242,01/2023,5,
1 Monat,2023-01-01 21:52:58.219242,01/2023,4,Sehr gute Auswahl und meistens faire Preise
1 Monat,2023-01-01 21:52:58.219242,01/2023,5,Früh am Morgen höflich und kompetent
1 Monat,2023-01-01 21:52:58.219242,01/2023,5,Hornbach - das sagt alles aus.1A Qualität- Top Beratung.
1 Monat,2023-01-01 21:52:58.219242,01/2023,5,"War in letzter zeit öfter dort, weil zuhause renoviert wird. Bislang hat alles dort sehr gut geklappt und einem wurde bei Fragen auch immer weitergeholfen. Tiefpreisgarantie hat bislang auch immer funktioniert"
1 Monat,2023-01-01 21:52:58.219242,01/2023,5,Toll
1 Monat,2023-01-01 21:52:58.219242,01/2023,4,
